id;tipo;id_doc;id_prod;cantidad;us_crea;date_crea
144;DEV;23;5170;4;1;2015-07-23
145;DEV;23;5162;2;1;2015-07-23
146;DEV;23;5158;4;1;2015-07-23
147;DEV;23;5155;4;1;2015-07-23
148;DEV;23;5154;4;1;2015-07-23
149;DEV;23;5165;8;1;2015-07-23
150;DEV;23;5159;4;1;2015-07-23
151;DEV;23;5160;2;1;2015-07-23
152;DEV;23;5156;4;1;2015-07-23
153;DEV;23;5157;2;1;2015-07-23
154;DEV;23;5169;4;1;2015-07-23
155;DEV;23;5153;2;1;2015-07-23
156;DEV;23;3027;1;1;2015-07-24
157;DEV;46;5114;2;1;2015-07-27
158;SAL;85;5028;1;1;2015-07-28
159;SAL;86;5184;1;1;2015-07-31
160;SAL;88;2012;1;1;2015-08-07
161;SAL;87;4736;1;1;2015-08-07
162;SAL;89;2728;8;1;2015-08-11
163;SAL;89;3021;8;1;2015-08-11
164;SAL;89;4194;8;1;2015-08-11
165;SAL;89;4571;10;1;2015-08-11
166;SAL;89;1290;4;1;2015-08-11
167;SAL;89;3364;10;1;2015-08-11
168;SAL;95;5038;1;1;2015-08-11
169;SAL;96;2463;1;1;2015-08-12
170;SAL;97;5115;1;1;2015-08-12
171;SAL;98;5115;1;1;2015-08-12
172;SAL;99;5102;1;1;2015-08-12
173;DEV;47;2012;1;1;2015-08-12
174;SAL;100;1383;10;1;2015-08-12
175;SAL;101;4731;1;1;2015-08-17
176;SAL;105;5115;1;1;2015-08-18
177;SAL;102;2443;2;1;2015-08-18
178;SAL;106;5115;1;1;2015-08-19
179;SAL;103;4329;1;1;2015-08-21
180;SAL;104;2443;1;1;2015-08-22
181;SAL;107;5115;1;1;2015-08-31
182;SAL;108;5115;1;1;2015-09-01
183;ENT;3;5186;12;1;2015-09-03
184;SAL;109;1290;4;1;2015-09-03
185;SAL;109;3021;8;1;2015-09-03
186;SAL;109;2728;8;1;2015-09-03
187;SAL;109;4186;8;1;2015-09-03
188;SAL;109;3364;10;1;2015-09-03
189;SAL;109;4194;8;1;2015-09-03
190;SAL;110;5115;1;1;2015-09-04
191;SAL;112;5014;1;1;2015-09-09
192;DEV;48;4329;1;1;2015-09-29
193;SAL;113;4386;4;1;2015-09-29
194;SAL;114;4386;2;1;2015-09-30
195;SAL;115;4386;4;1;2015-09-30
196;SAL;116;3026;2;1;2015-10-04
197;SAL;117;4386;4;1;2015-10-05
198;SAL;118;4386;0;1;2015-10-05
199;SAL;119;4386;2;1;2015-10-05
200;SAL;120;4386;4;1;2015-10-07
201;SAL;121;4386;4;1;2015-10-07
202;SAL;122;4386;0;1;2015-10-07
203;SAL;123;4386;2;1;2015-10-07
204;SAL;124;4386;4;1;2015-10-07
205;SAL;125;4386;4;1;2015-10-07
206;SAL;126;4386;2;1;2015-10-07
207;SAL;127;4386;2;1;2015-10-09
208;SAL;128;4386;2;1;2015-10-09
209;SAL;129;4386;2;1;2015-10-09
210;SAL;130;4386;2;1;2015-10-09
211;SAL;131;4386;2;1;2015-10-12
212;SAL;132;4386;2;1;2015-10-12
213;SAL;133;4386;2;1;2015-10-12
214;SAL;134;2359;1;1;2015-10-13
215;SAL;135;4735;1;1;2015-10-24
216;SAL;136;4751;1;1;2015-10-28
217;SAL;136;4767;1;1;2015-10-28
218;SAL;136;3035;1;1;2015-10-28
219;SAL;139;3023;4;1;2015-10-30
220;SAL;139;4234;2;1;2015-10-30
221;SAL;141;4731;1;1;2015-11-04
222;DEV;49;2443;2;1;2015-11-06
223;DEV;50;2443;1;1;2015-11-06
224;SAL;142;2435;1;1;2015-11-07
225;SAL;143;4735;1;1;2015-11-09
226;SAL;144;4566;12;1;2015-11-13
227;SAL;146;4185;20;1;2015-11-19
228;SAL;146;4863;20;1;2015-11-19
229;SAL;148;4243;2;1;2015-11-20
230;ENT;4;4738;7;1;2015-11-23
231;ENT;5;5028;2;1;2015-11-23
232;DEV;51;4566;3;1;2015-11-23
233;SAL;149;3033;2;1;2015-11-27
234;SAL;151;2442;1;1;2015-12-05
235;ENT;7;4736;5;1;2015-12-07
236;SAL;152;4736;1;1;2015-12-08
237;SAL;153;4736;1;1;2015-12-08
238;SAL;154;4736;1;1;2015-12-10
239;ENT;8;4997;142;1;2015-12-15
240;ENT;8;5181;5;1;2015-12-15
241;ENT;8;5178;5;1;2015-12-15
242;ENT;8;5180;5;1;2015-12-15
243;ENT;8;5187;1;1;2015-12-15
244;ENT;8;5179;5;1;2015-12-15
245;SAL;155;2495;5;1;2015-12-17
246;SAL;155;1331;1;1;2015-12-17
247;SAL;157;2495;10;1;2015-12-21
248;SAL;158;4997;18;1;2015-12-23
249;SAL;159;4997;18;1;2015-12-23
250;SAL;160;4997;18;1;2015-12-28
251;SAL;161;4997;18;1;2015-12-29
252;SAL;162;2336;1;1;2015-12-30
253;SAL;162;3242;1;1;2015-12-30
254;SAL;162;4690;1;1;2015-12-30
255;SAL;162;2329;1;1;2015-12-30
256;SAL;166;4997;18;1;2015-12-30
257;SAL;167;4997;18;1;2016-01-06
258;SAL;168;4997;18;1;2016-01-06
259;SAL;169;4997;16;1;2016-01-07
260;SAL;170;5180;1;1;2016-01-08
261;SAL;170;5179;1;1;2016-01-08
262;SAL;170;5178;1;1;2016-01-08
263;SAL;170;5181;1;1;2016-01-08
264;DEV;52;5181;1;1;2016-01-11
265;DEV;52;5180;1;1;2016-01-11
266;ENT;9;4945;3;1;2016-01-12
267;ENT;9;5188;1;1;2016-01-12
268;ENT;9;5190;1;1;2016-01-12
269;ENT;9;5189;1;1;2016-01-12
270;ENT;9;5192;4;1;2016-01-12
271;ENT;9;5191;2;1;2016-01-12
272;ENT;9;5193;2;1;2016-01-12
273;ENT;9;5194;6;1;2016-01-12
274;ENT;9;5195;6;1;2016-01-12
275;ENT;9;5196;8;1;2016-01-12
276;ENT;9;5197;12;1;2016-01-12
277;ENT;9;5198;2;1;2016-01-12
278;ENT;9;5199;4;1;2016-01-12
279;ENT;9;5090;1;1;2016-01-12
280;SAL;174;5189;1;1;2016-01-12
281;SAL;175;5115;1;1;2016-01-12
282;SAL;175;5114;1;1;2016-01-12
283;SAL;175;5073;1;1;2016-01-12
284;SAL;178;4945;1;1;2016-01-12
285;SAL;179;4945;1;1;2016-01-12
286;SAL;180;4945;1;1;2016-01-12
287;DEV;53;5073;1;1;2016-01-13
288;SAL;181;5090;1;1;2016-01-13
289;DEV;54;4234;2;1;2016-01-13
290;DEV;54;3023;4;1;2016-01-13
291;SAL;182;5073;6;1;2016-01-20
292;SAL;182;5078;6;1;2016-01-20
293;SAL;182;5080;6;1;2016-01-20
294;SAL;182;5079;6;1;2016-01-20
295;SAL;182;4378;5;1;2016-01-20
296;SAL;187;5073;9;1;2016-01-26
297;SAL;187;5079;9;1;2016-01-26
298;SAL;187;5078;9;1;2016-01-26
299;SAL;187;5080;9;1;2016-01-26
300;SAL;187;4378;9;1;2016-01-26
301;ENT;23;4742;4;1;2016-02-03
302;ENT;23;4743;4;1;2016-02-03
303;ENT;23;4745;4;1;2016-02-03
304;SAL;192;3037;1;1;2016-02-03
305;SAL;193;5115;1;1;2016-02-05
306;SAL;193;5114;1;1;2016-02-05
307;SAL;195;4206;1;1;2016-02-05
308;SAL;195;1312;2;1;2016-02-05
309;SAL;195;1374;2;1;2016-02-05
310;SAL;195;1276;4;1;2016-02-05
311;SAL;195;1372;2;1;2016-02-05
312;SAL;195;1517;16;1;2016-02-05
313;SAL;195;1257;16;1;2016-02-05
314;SAL;195;4295;16;1;2016-02-05
315;SAL;195;1482;10;1;2016-02-05
316;SAL;195;4294;20;1;2016-02-05
317;SAL;195;1258;10;1;2016-02-05
318;SAL;195;1515;10;1;2016-02-05
319;SAL;195;2495;8;1;2016-02-05
320;SAL;195;1371;1;1;2016-02-05
321;SAL;195;1483;2;1;2016-02-05
322;SAL;195;4183;4;1;2016-02-05
323;SAL;195;1259;2;1;2016-02-05
324;SAL;195;1516;2;1;2016-02-05
325;SAL;195;1421;1;1;2016-02-05
326;SAL;214;1331;2;1;2016-02-06
327;SAL;215;4649;2;1;2016-02-09
328;SAL;215;2302;2;1;2016-02-09
329;SAL;215;4705;1;1;2016-02-09
330;SAL;216;2495;12;1;2016-02-11
331;ENT;27;5188;9;1;2016-02-29
332;ENT;27;5190;11;1;2016-02-29
333;DEV;55;4649;2;1;2016-03-01
334;DEV;55;2302;2;1;2016-03-01
335;SAL;217;4569;1;1;2016-03-04
336;SAL;218;2341;1;1;2016-03-04
337;DEV;56;2495;10;1;2016-03-08
338;ENT;28;5200;1;1;2016-03-10
339;ENT;29;5201;1;1;2016-03-10
340;SAL;219;5197;4;1;2016-03-11
