id;procedencia;id_at;designacion;ref;SAP;id_prod;medida;us_crea;date_crea;us_modif;date_modif
45;,;1;Grifa dentada para cable 120 - 150 mm2;8WL4505-3;A2V00000202738;1363;Ud;1;2015-05-12;0;0000-00-00
46;,;1;Grifa para hilo de contacto 16R con grupilla en U;8WL4517-1L;A2V00001187052;1364;Ud;1;2015-05-12;0;0000-00-00
47;,;1;Grifa de conexi?n 22;8WL4536-1;A2V00000202827;1356;Ud;1;2015-05-12;0;0000-00-00
48;,;1;Borne de corriente (CUAL);8WL4578-2;A2V00000202881;1281;Ud;1;2015-05-12;0;0000-00-00
49;,;1;Grifa de alimentación para cable 120f a HC Ri80-150.;8WL4580-2_DBB:091026C;A2V00000200402;1350;Ud;1;2015-05-12;0;0000-00-00
50;,;1;Grifa de péndola para dos cables sustentadores 120 mm2;8WL4605-0;A2V00000202968;1361;Ud;1;2015-05-12;0;0000-00-00
51;,;1;Grifa de pendola 50/Ri80-150  CuNiSi.;8WL4620-0_DBB:074212B1;A2V00000200282;1360;Ud;1;2015-05-12;0;0000-00-00
52;,;1;Grifa de pendola 120 CuNiSi.;8WL4624-4;A2V00000203018;1359;Ud;1;2015-05-12;0;0000-00-00
53;,;1;Cubrejunta para rueda tensora simetrico.;8WL5006-1A;A2V00001036068;1335;Ud;1;2015-05-12;0;0000-00-00
54;,;1;Rueda tensora hasta 24 kN;8WL5078-1A;A2V00001660725;1409;Ud;1;2015-05-12;0;0000-00-00
55;,;1;Pesos de tensionado d=410 h=55 50kg;8WL5104-0;A2V00000200337;1333;Ud;1;2015-05-12;0;0000-00-00
56;,;1;Abrazadera de guia d=415, para pesos;8WL5134-0;A2V00000215738;1222;Ud;1;2015-05-12;0;0000-00-00
57;,;1;Polea 75 (GTW) con brida (Ac);8WL5160-0;A2V00000203120;1405;Ud;1;2015-05-12;0;0000-00-00
58;,;1;Brida para barra de contrapesos 26 aluminium.;8WL5170-1_DBB:08003B;A2V00001007767;1286;Ud;1;2015-05-12;0;0000-00-00
59;,;1;Perno roscado tipo gancho M24x425 con 2 tuercas, galvanizado.;8WL5172-1;A2V00000203140;1400;Ud;1;2015-05-12;0;0000-00-00
60;,;1;Anillo de ajuste 36 con tornillo M8;8WL5173-0;A2V00000203141;1247;Ud;1;2015-05-12;0;0000-00-00
61;,;1;Suspensión con aislamiento de cable sustentador;8WL5545-5A;A2V00001362062;3456;Kit;1;2015-05-12;0;0000-00-00
62;,;1;Aislador de sección de construcción ligera 3 kV c.c.;8WL5545-7A;A2V00001160177;1236;Ud;1;2015-05-12;0;0000-00-00
63;,;1;Pieza de articulación 26 con ojo, central;8WL6223-0A_DBB:056712X-01;A2V00000200059;1401;Ud;1;2015-05-12;0;0000-00-00
64;,;1;Cinta de fijación 19x1,0 (rollo L=30m), Stainless steel.;8WL6743-0;A2V00000203633;1318;Mts;1;2015-05-12;0;0000-00-00
65;,;1;Cierre para cinta de fijación de aluminium bronze.;8WL6748-6;A2V00000203640;1317;Ud;1;2015-05-12;0;0000-00-00
66;,;1;Cable DIN48201 - 120/19 - E-Cu (Cable Sustentador);8WL7055-0;A2V00000203697;1308;Mts;1;2015-05-12;0;0000-00-00
67;,;1;Cable DIN43138 - BzII - 25x133 (Cable de Pendola);8WL7062-0;A2V00000203705;1298;Mts;1;2015-05-12;0;0000-00-00
68;,;1;Cable 43138-E-Cu-120X336 (Cable flexible);8WL7076-0;A2V00000200603;1301;Mts;1;2015-05-12;0;0000-00-00
69;,;1;Cable de acero flexible DIEPA 50mm2 d=9,5mm;8WL7090-0;A2V00000200610;4179;Mts;1;2015-05-12;0;0000-00-00
70;,;1;Cable de acero 50 mm2 (d=9,5mm2 ) L=7,5m;8WL7090-0C;A2V00001155165;1296;Ud;1;2015-05-12;0;0000-00-00
71;,;1;Cuerda 12 EN 12385-4 6x19M-WSC 1770 B sZ;8WL7091-6;A2V00001071757;1300;Mts;1;2015-05-12;0;0000-00-00
72;,;1;Cable 6 DIN3060-SE-BK1570SZ-1.4401 (Cable pendola para mensula);8WL7093-2;A2V00000200604;1302;Mts;1;2015-05-12;0;0000-00-00
73;,;1;Muelle tensor 180 L1=1440 mm2 hasta L2=1670 mm;8WL8037-2;A2V00000203928;1392;Ud;1;2015-05-12;0;0000-00-00
74;,;1;Brida para anclaje del poste;D.0185-EL-J4211-S001;A2V00001665346;4290;Ud;1;2015-05-12;0;0000-00-00
75;,;1;Angulo de apoyo (arriba) para rueda tensora;D.0185-EL-J4221-S001;A2V00001661029;1244;Ud;1;2015-05-12;0;0000-00-00
76;,;1;Angulo de apoyo (abajo) para rueda tensora;D.0185-EL-J4221-S002;A2V00001661030;1243;Ud;1;2015-05-12;0;0000-00-00
77;,;1;Angulo de apoyo para fijacion de guia de contrapeso;D.0185-EL-J4221-S003;A2V00001663616;1245;Ud;1;2015-05-12;0;0000-00-00
78;,;1;Angulo de apoyo para muelle tensor;D.0185-EL-J4221-S004;A2V00001675635;1523;Ud;1;2015-05-12;0;0000-00-00
79;,;1;Elemento de fijacion para 2 mensulas;D.0185-EL-J4257-S001;A2V00001678448;1441;Ud;1;2015-05-12;0;0000-00-00
80;,;1;Fijacion para apeo;D.0185-EL-J4311-S001;A2V00001661031;1442;Ud;1;2015-05-12;0;0000-00-00
81;,;1;Fijacion para apeo;D.0185-EL-J4311-S002;A2V00001661032;1345;Ud;1;2015-05-12;0;0000-00-00
82;,;1;Cinta de tracción M20;DBB:045445A-71;A2V00000207941;1319;Ud;1;2015-05-12;0;0000-00-00
83;,;1;Pletina 20x100x100 para juego de pesa - Al;DBB:081022X-08;A2V00000205015;1402;Ud;1;2015-05-12;0;0000-00-00
84;,;1;Barra para pesas 26 L=650 DIN 668;DBB:081033X-11-0650;A2V00001040565;1271;Ud;1;2015-05-12;0;0000-00-00
85;,;1;Barra para pesas 26 L=970;DBB:081035X-07;A2V00000206968;1272;Ud;1;2015-05-12;0;0000-00-00
86;,;1;Arandela plana DIN125-A17-A2-70;DIN:125-A17-A2;A2V00000200775;4294;Ud;1;2015-05-12;0;0000-00-00
87;,;1;Arandela plana DIN:125-A21-A2;DIN125-A21-A2-70;A2V00000200778;4295;Ud;1;2015-05-12;0;0000-00-00
88;,;1;Arandela de presión DIN127-B16-FSt-A2;DIN:127-B16-FST-A2;A2V00000200799;1258;Ud;1;2015-05-12;0;0000-00-00
89;,;1;Arandela de presión DIN127-B20-FSt-A2;DIN:127-B20-FST-A2;A2V00000200801;1257;Ud;1;2015-05-12;0;0000-00-00
90;,;1;Pasador cilindrico DIN1473-6x40-A2;DIN:1473-06X040-A2;A2V00000200835;1398;Ud;1;2015-05-12;0;0000-00-00
91;,;1;Placa DIN7349-21-A2;DIN:7349-21-A2;A2V00001112146;1254;Ud;1;2015-05-12;0;0000-00-00
92;,;1;Tornillo hexagonal DIN931-M20x140-A2-70;DIN:931-M20X140-A2-70;A2V00000201120;4298;Ud;1;2015-05-12;0;0000-00-00
93;,;1;Tornillo hexagonal DIN933-M16x45-A2-70;DIN:933-M16X45-A2-70;A2V00000201208;1482;Ud;1;2015-05-12;0;0000-00-00
