id_prod;image;us_crea;date_crea
1371;ID=1371, J4215-S001.JPG;2;0000-00-00 00:00:00
1372;ID=1372, J4221-S001.JPG;2;0000-00-00 00:00:00
1374;ID=1374, J4221-S002.JPG;2;0000-00-00 00:00:00
1375;ID=1375, .JPG;2;0000-00-00 00:00:00
1384;ID=1384, 8WL1553-0.JPG;2;0000-00-00 00:00:00
1385;ID=1385, .JPG;2;0000-00-00 00:00:00
1392;ID=1392, 8WL8037-2.JPG;2;0000-00-00 00:00:00
1398;ID=1398, .JPG;2;0000-00-00 00:00:00
1399;ID=1399, .JPG;2;0000-00-00 00:00:00
1400;ID=1400, 8WL5172-1.JPG;2;0000-00-00 00:00:00
1401;ID=1401, 8WL6223-0A.JPG;2;0000-00-00 00:00:00
1402;ID=1402, DBB081022X-08.JPG;2;0000-00-00 00:00:00
1403;ID=1403, J4211-C001 - copia.JPG;2;0000-00-00 00:00:00
1405;ID=1405, 8WL5160-0.JPG;2;0000-00-00 00:00:00
1408;ID=1408, .JPG;2;0000-00-00 00:00:00
1409;ID=1409, 8WL5078-1A.JPG;2;0000-00-00 00:00:00
1412;ID=1412, .JPG;2;0000-00-00 00:00:00
1413;ID=1413, J4235-S001-A .JPG;2;0000-00-00 00:00:00
1416;ID=1416, J4235-S001-C .JPG;2;0000-00-00 00:00:00
1419;ID=1419, J4235-S001-D .JPG;2;0000-00-00 00:00:00
1421;ID=1421, J4235-S001-E.JPG;2;0000-00-00 00:00:00
1423;ID=1423, J4235-S001-F .JPG;2;0000-00-00 00:00:00
1424;ID=1424, .JPG;2;0000-00-00 00:00:00
1425;ID=1425, J4235-S001-H .JPG;2;0000-00-00 00:00:00
1426;ID=1426, J4235-S001-I .JPG;2;0000-00-00 00:00:00
1427;ID=1427, 8WL2124-4.JPG;2;0000-00-00 00:00:00
1429;ID=1429, .JPG;2;0000-00-00 00:00:00
1432;ID=1432, 8WL2118-1.JPG;2;0000-00-00 00:00:00
1433;ID=1433, 8WL2118-2.JPG;2;0000-00-00 00:00:00
1439;ID=1439, MS-CAT-HIE-0018.JPG;2;0000-00-00 00:00:00
1441;ID=1441, D.0185-EL-J4257-S001.JPG;2;0000-00-00 00:00:00
1442;ID=1442, D.0185-EL-J4311-S001.JPG;2;0000-00-00 00:00:00
1449;ID=1449, 8WL2184-6.JPG;2;0000-00-00 00:00:00
1454;ID=1454, 8WL1097-3A.JPG;2;0000-00-00 00:00:00
1459;ID=1459, .JPG;2;0000-00-00 00:00:00
1464;ID=1464, 8WL2104-1.JPG;2;0000-00-00 00:00:00
1465;ID=1465, .JPG;2;0000-00-00 00:00:00
1467;ID=1467, 8WL2101-4.JPG;2;0000-00-00 00:00:00
1470;ID=1470, .JPG;2;0000-00-00 00:00:00
1471;ID=1471, .JPG;2;0000-00-00 00:00:00
1473;ID=1473, .JPG;2;0000-00-00 00:00:00
1474;ID1474, TER178.SCP.100.JPG;2;0000-00-00 00:00:00
1475;ID=1475, SPTC-4x70-153R.JPG;2;0000-00-00 00:00:00
1482;ID=1482, .JPG;2;0000-00-00 00:00:00
1483;ID=1483, .JPG;2;0000-00-00 00:00:00
1489;ID=1489, .JPG;2;0000-00-00 00:00:00
1490;ID=1490, .JPG;2;0000-00-00 00:00:00
1498;ID=1498, .JPG;2;0000-00-00 00:00:00
1499;ID=1499,  .JPG;2;0000-00-00 00:00:00
1500;ID=1500, 8WL2161-0 .JPG;2;0000-00-00 00:00:00
1501;ID=1501, 8WL2165-0 .JPG;2;0000-00-00 00:00:00
1502;ID=1502, 8WL2167-0 .JPG;2;0000-00-00 00:00:00
1514;ID=1514, .JPG;2;0000-00-00 00:00:00
1515;ID=1515, .JPG;2;0000-00-00 00:00:00
1516;ID=1516, .JPG;2;0000-00-00 00:00:00
1517;ID=1517, .JPG;2;0000-00-00 00:00:00
1523;ID=1523, D.0185-EL-J4221-S004.JPG;2;0000-00-00 00:00:00
1534;ID=1534, J4215-S002.JPG;2;0000-00-00 00:00:00
